Hyperparameter Evaluation Log

Program finished in 44.945249199998216 seconds
Best parameters: {'n_estimators': 95, 'criterion': 'entropy', 'min_samples_split': 5}, Accuracy: 0.966903073286052
Params: {'n_estimators': 63, 'criterion': 'gini', 'min_samples_split': 10}, Accuracy: 0.9408983451536643
Params: {'n_estimators': 47, 'criterion': 'entropy', 'min_samples_split': 2}, Accuracy: 0.9479905437352246
Params: {'n_estimators': 10, 'criterion': 'gini', 'min_samples_split': 2}, Accuracy: 0.8912529550827423
Params: {'n_estimators': 32, 'criterion': 'gini', 'min_samples_split': 2}, Accuracy: 0.9290780141843972
Params: {'n_estimators': 10, 'criterion': 'gini', 'min_samples_split': 5}, Accuracy: 0.8817966903073287
Params: {'n_estimators': 10, 'criterion': 'gini', 'min_samples_split': 10}, Accuracy: 0.9196217494089834
Params: {'n_estimators': 91, 'criterion': 'log_loss', 'min_samples_split': 2}, Accuracy: 0.9574468085106383
Params: {'n_estimators': 63, 'criterion': 'entropy', 'min_samples_split': 2}, Accuracy: 0.9598108747044918
Params: {'n_estimators': 47, 'criterion': 'entropy', 'min_samples_split': 5}, Accuracy: 0.950354609929078
Params: {'n_estimators': 10, 'criterion': 'entropy', 'min_samples_split': 2}, Accuracy: 0.9125295508274232
Params: {'n_estimators': 32, 'criterion': 'gini', 'min_samples_split': 5}, Accuracy: 0.9361702127659575
Params: {'n_estimators': 10, 'criterion': 'entropy', 'min_samples_split': 5}, Accuracy: 0.9078014184397163
Params: {'n_estimators': 96, 'criterion': 'gini', 'min_samples_split': 2}, Accuracy: 0.9432624113475178
Params: {'n_estimators': 86, 'criterion': 'gini', 'min_samples_split': 2}, Accuracy: 0.9479905437352246
Params: {'n_estimators': 10, 'criterion': 'entropy', 'min_samples_split': 10}, Accuracy: 0.900709219858156
Params: {'n_estimators': 32, 'criterion': 'gini', 'min_samples_split': 10}, Accuracy: 0.9290780141843972
Params: {'n_estimators': 10, 'criterion': 'log_loss', 'min_samples_split': 2}, Accuracy: 0.9148936170212766
Params: {'n_estimators': 10, 'criterion': 'log_loss', 'min_samples_split': 5}, Accuracy: 0.9125295508274232
Params: {'n_estimators': 47, 'criterion': 'entropy', 'min_samples_split': 10}, Accuracy: 0.9598108747044918
Params: {'n_estimators': 10, 'criterion': 'log_loss', 'min_samples_split': 10}, Accuracy: 0.9148936170212766
Params: {'n_estimators': 32, 'criterion': 'entropy', 'min_samples_split': 2}, Accuracy: 0.933806146572104
Params: {'n_estimators': 63, 'criterion': 'entropy', 'min_samples_split': 5}, Accuracy: 0.9479905437352246
Params: {'n_estimators': 11, 'criterion': 'gini', 'min_samples_split': 2}, Accuracy: 0.9030732860520094
Params: {'n_estimators': 11, 'criterion': 'gini', 'min_samples_split': 5}, Accuracy: 0.900709219858156
Params: {'n_estimators': 11, 'criterion': 'gini', 'min_samples_split': 10}, Accuracy: 0.8794326241134752
Params: {'n_estimators': 86, 'criterion': 'gini', 'min_samples_split': 5}, Accuracy: 0.9361702127659575
Params: {'n_estimators': 96, 'criterion': 'gini', 'min_samples_split': 5}, Accuracy: 0.9432624113475178
Params: {'n_estimators': 91, 'criterion': 'log_loss', 'min_samples_split': 5}, Accuracy: 0.9550827423167849
Params: {'n_estimators': 47, 'criterion': 'log_loss', 'min_samples_split': 2}, Accuracy: 0.9479905437352246
Params: {'n_estimators': 11, 'criterion': 'entropy', 'min_samples_split': 2}, Accuracy: 0.9078014184397163
Params: {'n_estimators': 32, 'criterion': 'entropy', 'min_samples_split': 5}, Accuracy: 0.9456264775413712
Params: {'n_estimators': 11, 'criterion': 'entropy', 'min_samples_split': 5}, Accuracy: 0.8841607565011821
Params: {'n_estimators': 11, 'criterion': 'entropy', 'min_samples_split': 10}, Accuracy: 0.9030732860520094
Params: {'n_estimators': 11, 'criterion': 'log_loss', 'min_samples_split': 2}, Accuracy: 0.8959810874704491
