Program finished in 119.14147760003107 seconds
Best parameters: {'C': 0.018329807108324356, 'kernel': 'poly', 'gamma': 'auto'}, Accuracy: 0.9763593380614657
Params: {'C': 2.3357214690901213, 'kernel': 'rbf', 'gamma': 'auto'}, Accuracy: 0.9030732860520094
Params: {'C': 0.37926901907322497, 'kernel': 'sigmoid', 'gamma': 'auto'}, Accuracy: 0.16548463356973994
Params: {'C': 2.3357214690901213, 'kernel': 'sigmoid', 'gamma': 'scale'}, Accuracy: 0.06382978723404255
Params: {'C': 0.6951927961775606, 'kernel': 'linear', 'gamma': 'scale'}, Accuracy: 0.8676122931442081
Params: {'C': 0.6951927961775606, 'kernel': 'linear', 'gamma': 'auto'}, Accuracy: 0.8676122931442081
Params: {'C': 2.3357214690901213, 'kernel': 'sigmoid', 'gamma': 'auto'}, Accuracy: 0.16548463356973994
Params: {'C': 0.6951927961775606, 'kernel': 'poly', 'gamma': 'scale'}, Accuracy: 0.6666666666666666
Params: {'C': 14.38449888287663, 'kernel': 'poly', 'gamma': 'auto'}, Accuracy: 0.9692671394799054
Params: {'C': 88.58667904100822, 'kernel': 'linear', 'gamma': 'auto'}, Accuracy: 0.9645390070921985
Params: {'C': 4.281332398719392, 'kernel': 'linear', 'gamma': 'scale'}, Accuracy: 0.9101654846335697
Params: {'C': 88.58667904100822, 'kernel': 'poly', 'gamma': 'scale'}, Accuracy: 0.8203309692671394
Params: {'C': 14.38449888287663, 'kernel': 'rbf', 'gamma': 'scale'}, Accuracy: 0.7139479905437353
Params: {'C': 14.38449888287663, 'kernel': 'rbf', 'gamma': 'auto'}, Accuracy: 0.9125295508274232
Params: {'C': 4.281332398719392, 'kernel': 'linear', 'gamma': 'auto'}, Accuracy: 0.9101654846335697
Params: {'C': 14.38449888287663, 'kernel': 'sigmoid', 'gamma': 'scale'}, Accuracy: 0.028368794326241134
Params: {'C': 4.281332398719392, 'kernel': 'poly', 'gamma': 'scale'}, Accuracy: 0.6453900709219859
Params: {'C': 14.38449888287663, 'kernel': 'sigmoid', 'gamma': 'auto'}, Accuracy: 0.16548463356973994
Params: {'C': 0.03359818286283781, 'kernel': 'poly', 'gamma': 'auto'}, Accuracy: 0.9739952718676123
